Time	Type	Trial	L Dia X [px]	L Dia Y [px]	L POR X [px]	L POR Y [px]	L Event Info
264597551640	SMP	1	13.53	13.53	1006.40	366.49	Fixation
264597555620	SMP	1	13.82	13.82	1005.76	368.73	Fixation
264597559647	SMP	1	13.82	13.82	1007.46	368.90	Fixation
264597563640	SMP	1	13.82	13.82	1007.81	368.97	Fixation
264597567599	SMP	1	13.77	13.77	1009.36	369.86	Fixation
264597571592	SMP	1	13.78	13.78	1009.86	370.81	Fixation
264597575653	SMP	1	13.83	13.83	1009.45	370.70	Fixation
264597579717	SMP	1	13.85	13.85	1009.16	371.88	Fixation
264597583696	SMP	1	13.88	13.88	1010.13	371.89	Fixation
264597587628	SMP	1	13.91	13.91	1010.73	374.34	Fixation
264597591638	SMP	1	13.89	13.89	1010.02	374.13	Fixation
264597595635	SMP	1	13.89	13.89	1009.80	375.02	Fixation
264597599646	SMP	1	13.91	13.91	1010.20	375.60	Fixation
264597603609	SMP	1	13.88	13.88	1008.15	376.17	Fixation
264597607644	SMP	1	13.90	13.90	1004.01	377.70	Fixation
264597611759	SMP	1	13.70	13.70	1000.61	378.06	Fixation
264597615660	SMP	1	13.88	13.88	1000.76	377.23	Fixation
264597619622	SMP	1	13.85	13.85	999.03	377.31	Fixation
264597623637	SMP	1	13.83	13.83	999.57	375.76	Fixation
264597627623	SMP	1	13.69	13.69	998.88	374.40	Fixation
264597631613	SMP	1	13.71	13.71	998.53	372.19	Fixation
264597635612	SMP	1	13.80	13.80	997.86	372.04	Fixation
264597639618	SMP	1	13.75	13.75	998.82	370.02	Fixation
264597643637	SMP	1	13.84	13.84	997.70	370.03	Fixation
264597647636	SMP	1	13.96	13.96	997.98	370.59	Fixation
264597651667	SMP	1	13.96	13.96	999.46	370.53	Fixation
264597655622	SMP	1	13.67	13.67	999.15	371.65	Fixation
264597659596	SMP	1	13.55	13.55	999.11	373.47	Fixation
264597663593	SMP	1	13.49	13.49	999.06	373.95	Fixation
264597667584	SMP	1	13.50	13.50	998.78	376.78	Fixation
264597671630	SMP	1	13.64	13.64	997.44	378.09	Fixation
